Course,Field,Unit_Count,A_Count,B_Count,C_Count,D_Count,F_Count,GPT_concept_rating,CE_required,CE_Elective,Software Engineer,Embedded Systems Engineer,Hardware Engineer,Machine Learning Engineer,FPGA Engineer,Robotics Engineer,Network Engineer,Cybersecurity Engineer,VLSI Design Engineer,Electrical Engineer,Data Engineer,AI Research Scientist,Cloud Architect,DevOps Engineer,ASIC Design Engineer,Total_Students,Avg_Grade,Avg_Grade_Normalized,Failure_Rate,Failure_Rate_Normalized,Grade_Distribution,Variability_Normalized,Conceptual_Rating_Normalized,Multiplier,Difficulty_Score,Field_Adjusted_Difficulty_Score,Final_Difficulty_Score
ECE 135 - Optical Fiber Communication,Engineering,4,37,25,5,4,0,7,0,0,20,60,80,20,60,40,100,40,40,100,20,20,60,40,60,71,3.3380281690140845,0.16549295774647887,0.056338028169014086,0.44637053087757317,16.02186006679624,0.08146664042526561,0.7,1.1,3.7972067763339763,4.176927453967374,5.23
ECE 136A - Intro to Optics and Photonics,Engineering,4,12,0,0,0,0,8,0,0,20,60,80,20,60,40,40,20,60,100,20,20,40,20,60,12,4.0,0.0,0.0,0.0,5.366563145999495,0.027287460276891905,0.8,1.1,2.813643730138446,3.0950081031522907,2.42
ECE 136B - Optics and Imaging,Engineering,4,19,8,5,0,0,9,0,0,20,60,80,20,60,40,40,20,60,100,20,40,60,20,60,32,3.4375,0.140625,0.0,0.0,7.829431652425353,0.03981045212622885,0.9,1.1,3.5214677260631144,3.873614498669426,4.44
ECE 136C - Quantum Photonics,Engineering,4,52,1,0,0,0,10,0,0,20,40,60,40,40,40,20,20,40,80,40,100,20,20,40,53,3.981132075471698,0.004716981132075526,0.0,0.0,23.147354060453647,0.11769776806048242,1.0,1.1,3.57064133686043,3.9277054705464733,4.58
ECE 137A - Circuits and Electronics I,Engineering,4,134,138,93,11,9,7,0,0,20,80,100,20,80,40,20,20,100,100,20,20,20,20,100,385,2.979220779220779,0.2551948051948052,0.05194805194805195,0.41158841158841164,63.65139432879691,0.32364939106522755,0.7,1.1,4.07298853169645,4.480287384866095,6.01
ECE 137B - Circuits and Electronics II,Engineering,4,115,174,80,3,3,8,0,0,20,80,100,20,80,40,20,20,100,100,20,20,20,20,100,375,3.0533333333333332,0.2366666666666667,0.016,0.12676923076923077,73.81395532011545,0.37532314795911914,0.8,1.1,3.8328667021846874,4.216153372403157,5.33
ECE 139 - Probability and Statistics,Engineering,4,463,222,62,0,4,7,0,0,80,60,60,100,60,60,60,60,40,60,100,100,60,60,40,751,3.51797603195739,0.12050599201065249,0.005326231691078562,0.04220014339854553,196.66774011006484,1.0,0.7,1.1,3.335665266823722,3.6692317935060945,3.91
ECE 142 - Intro to Power Electronics,Engineering,4,157,32,5,1,0,8,0,0,20,80,100,20,80,60,20,20,80,100,40,20,20,20,80,195,3.769230769230769,0.05769230769230771,0.005128205128205128,0.04063116370808679,67.25696989903723,0.34198272610137764,0.8,1.1,3.196484459697632,3.516132905667395,3.51
ECE 144 - Electromagnetic Fields and Waves,Engineering,4,96,17,4,3,0,9,0,0,20,80,100,20,80,60,60,20,80,100,20,20,40,20,80,120,3.716666666666667,0.0708333333333333,0.025,0.1980769230769231,40.773766075750224,0.2073231026752595,0.9,1.1,3.8268987308248095,4.2095886039072905,5.31
ECE 145A - Communication Electronics I,Engineering,5,33,38,9,0,0,8,0,0,20,80,100,20,80,40,80,20,80,100,20,20,40,20,80,80,3.3,0.17500000000000004,0.0,0.0,18.261982367749674,0.09285703063211781,0.8,1.1,3.2839285153160587,3.612321366847665,3.76
ECE 145B - Commuincation Electronics II,Engineering,5,37,19,1,0,1,9,0,0,20,80,100,20,80,40,80,20,100,100,20,20,40,20,100,58,3.5689655172413794,0.10775862068965514,0.017241379310344827,0.13660477453580902,16.272676485446393,0.08274197118622206,0.9,1.1,3.733977086388867,4.107374795027754,5.04
ECE 146A - Digital Communication Fundamentals,Engineering,5,58,14,2,0,0,8,0,0,20,60,80,40,60,40,100,60,60,80,40,40,60,40,60,74,3.7567567567567566,0.060810810810810856,0.0,0.0,24.843510218968657,0.12632224382638974,0.8,1.1,3.0151881489402217,3.3167069638342443,2.99
ECE 146B - Communication Systems Design,Engineering,5,24,13,3,1,1,9,0,0,20,60,80,40,60,40,100,60,60,80,40,40,60,40,60,42,3.380952380952381,0.15476190476190477,0.047619047619047616,0.3772893772893773,10.039920318408907,0.05105016365566655,0.9,1.1,4.31700859831135,4.748709458142486,6.71
ECE 147A - Feedback Control Systems - Theory and Design,Engineering,5,72,50,21,1,0,8,0,1,20,80,80,40,80,100,40,20,60,100,40,40,40,20,60,144,3.3402777777777777,0.16493055555555558,0.006944444444444444,0.05502136752136752,31.538864912992672,0.16036623441822226,0.8,1.1,3.402552241140735,3.742807465254809,4.1
ECE 147B - Digital Control Systems - Theory and Design,Engineering,5,43,25,14,1,1,9,0,1,20,80,80,40,80,100,40,20,60,100,40,40,40,20,60,84,3.2857142857142856,0.1785714285714286,0.023809523809523808,0.18864468864468864,17.75387281693772,0.09027343684837069,0.9,1.1,4.018854667142135,4.420740133856349,5.86
ECE 147C - Control Systems Design Project,Engineering,5,44,1,0,0,0,8,0,0,20,80,100,40,80,100,40,20,60,100,40,40,40,20,80,45,3.977777777777778,0.005555555555555536,0.0,0.0,19.570385790780925,0.09950989308072786,0.8,1.1,2.8636438354292526,3.1500082189721783,2.56
ECE 148 - Applications of Signal Analysis and Processing,Engineering,4,89,17,0,0,2,9,0,0,40,60,80,80,60,60,60,40,60,80,60,80,40,40,60,108,3.7685185185185186,0.05787037037037035,0.018518518518518517,0.1467236467236467,38.34449112975683,0.19497092460765242,0.9,1.1,3.6856086816770457,4.054169549844751,4.91
ECE 149 - Game Theory for Networked Systems,Engineering,4,33,35,22,7,6,7,0,1,60,40,40,80,40,60,100,60,40,60,80,80,60,60,40,103,2.796116504854369,0.30097087378640774,0.1262135922330097,1.0,13.794926603646719,0.07014331173951766,0.7,1.1,5.237498840335778,5.761248724369357,9.34
ECE 152A - Digital Design Princples,Engineering,5,153,171,91,8,10,8,1,0,40,100,100,40,100,60,40,40,100,100,40,40,40,60,100,433,3.0369515011547343,0.24076212471131642,0.04157043879907621,0.3293657843311423,76.80690073163998,0.3905414313941631,0.8,1.1,4.255907596137657,4.681498355751423,6.54
ECE 153A - Hardware/Software Interface,Engineering,4,86,48,1,2,5,8,0,1,60,100,80,40,80,60,40,60,80,80,40,40,60,100,80,142,3.464788732394366,0.1338028169014085,0.04929577464788732,0.39057421451787644,37.73989931094147,0.1918967456982034,0.8,1.1,4.011603844138375,4.412764228552213,5.84
ECE 153B - Sensor and Peripheral Interface Design,Engineering,4,175,110,36,3,0,9,1,0,40,100,100,40,100,60,80,60,100,100,40,40,60,80,100,324,3.4104938271604937,0.1473765432098766,0.009259259259259259,0.07336182336182336,75.88609885875015,0.3858594135280173,0.9,1.1,3.8580947115123463,4.243904182663581,5.4
ECE 154A - Intro to Computer Architecture,Engineering,4,235,168,25,5,1,8,1,0,80,100,100,60,100,60,60,80,100,100,60,60,80,100,100,434,3.453917050691244,0.13652073732718895,0.013824884792626729,0.10953562566465792,107.73671611850808,0.5478108207183007,0.8,1.1,3.6342785050064386,3.997706355507083,4.76
ECE 154B - Advanced Computer Architecture,Engineering,4,72,18,1,3,2,9,0,1,80,100,100,60,100,60,60,80,100,100,60,60,80,100,100,96,3.6145833333333335,0.09635416666666663,0.052083333333333336,0.41266025641025644,30.326556019436165,0.1542019855542345,0.9,1.1,4.293306922264296,4.7226376144907265,6.64
ECE 157A - Machine Learning in Design and Test Automation,Engineering,4,132,30,2,0,1,7,0,1,60,80,80,100,80,60,40,60,80,80,100,100,60,60,80,165,3.7696969696969695,0.05757575757575761,0.006060606060606061,0.04801864801864802,56.753854494650845,0.28857734605018914,0.7,1.1,2.8342653630017844,3.1176918993019633,2.48
ECE 157B - Artificial Intelligence in Design and Test Automation,Engineering,4,116,17,3,0,0,8,0,1,60,80,80,100,80,60,40,60,80,80,100,100,60,60,80,136,3.8308823529411766,0.04227941176470584,0.0,0.0,50.13681282251595,0.2549315550911245,0.8,1.1,3.0331643069573264,3.3364807376530594,3.04
ECE 158 - Digital Signal Processing,Engineering,4,67,15,2,0,0,9,0,0,60,80,80,100,80,60,60,40,60,80,100,100,40,60,60,84,3.7738095238095237,0.05654761904761907,0.0,0.0,28.75239120490677,0.14619780137207827,0.9,1.1,3.3644679483050863,3.7009147431355953,3.99
ECE 162A - Quantum Description of Electronic Metals,Engineering,4,42,26,2,1,0,9,0,0,20,60,100,20,60,40,20,20,100,100,20,40,20,20,100,71,3.535211267605634,0.1161971830985915,0.014084507042253521,0.11159263271939329,18.952572384771415,0.09636848612876028,0.9,1.1,3.711862466249646,4.083048712874611,4.98
ECE 162B - Fundamentals of Solid State,Engineering,4,49,5,0,1,0,9,0,0,20,80,100,20,80,40,20,20,100,100,20,40,20,20,100,55,3.8545454545454545,0.036363636363636376,0.01818181818181818,0.14405594405594405,21.342445970413046,0.10852031938979302,0.9,1.1,3.5832811387158756,3.9416092525874635,4.61
ECE 178 - Intro to Digital Image and Video Processing,Engineering,4,107,101,37,14,8,8,0,1,60,60,60,100,60,60,40,40,40,60,100,100,40,60,40,267,3.067415730337079,0.2331460674157303,0.08239700374531835,0.6528377989052145,47.48999894714676,0.24147325291158095,0.8,1.1,4.809277392805545,5.2902051320861005,8.12
ECE 179D - Intro to Robotics - Dynamics and Control,Engineering,4,43,25,9,0,1,9,0,1,40,80,80,60,80,100,40,40,60,80,60,60,40,40,60,78,3.3974358974358974,0.15064102564102566,0.01282051282051282,0.10157790927021695,18.297540818372287,0.09303783532638395,0.9,1.1,3.77627730030619,4.1539050303368095,5.17
ECE 179P - Intro to Robotics - Planning and Kinematics,Engineering,4,28,19,5,2,0,8,0,1,40,80,80,60,80,100,40,40,60,80,60,60,40,40,60,54,3.3518518518518516,0.1620370370370371,0.037037037037037035,0.2934472934472934,12.153188881935472,0.06179553837926828,0.8,1.1,3.8228849486768137,4.205173443544496,5.3
ECE 180 - Intro to Deep Learning,Engineering,4,130,72,8,3,0,8,0,1,80,60,40,100,60,60,40,60,40,40,100,100,60,60,40,213,3.544600938967136,0.113849765258216,0.014084507042253521,0.11159263271939329,57.19090836837618,0.29079964175298584,0.8,1.1,3.453209499460819,3.7985304494069014,4.24
ECE 181 - Intro to Computer Vision,Engineering,4,139,130,31,3,3,9,0,1,80,60,40,100,60,80,40,60,40,40,100,100,40,60,40,306,3.303921568627451,0.1740196078431373,0.0196078431372549,0.15535444947209653,67.95733955946186,0.34554390832695603,0.9,1.1,4.068529872715515,4.475382859987067,6.0
ECE 183 - Nonlinear Phenomena,Engineering,4,38,17,6,1,0,9,0,0,40,60,80,80,60,60,40,40,60,80,80,80,40,40,60,62,3.4838709677419355,0.12903225806451613,0.016129032258064516,0.12779156327543423,15.82087228947886,0.08044467425427643,0.9,1.1,3.7683861088392967,4.145224719723227,5.14
ECE 184 - Intro to Game Development,Engineering,4,23,6,3,1,0,7,0,1,100,40,40,60,40,40,40,40,20,40,40,60,60,80,20,33,3.5454545454545454,0.11363636363636365,0.030303030303030304,0.2400932400932401,9.44986772394196,0.04804991260210421,0.7,1.1,3.238302345578441,3.5621325801362853,3.63
ECE 186 - Probabilistic Machine Learning,Engineering,4,1,1,1,0,0,8,0,1,80,60,40,100,60,60,40,60,40,40,100,100,60,60,40,3,3.0,0.25,0.0,0.0,0.5477225575051662,0.002785014752285423,0.8,1.1,3.4263925073761428,3.769031758113757,4.17
ECE 188A - Senior EE Capstone,Engineering,4,291,25,0,0,0,7,0,0,60,100,100,60,100,80,60,60,100,100,60,60,60,80,100,316,3.920886075949367,0.019778481012658222,0.0,0.0,127.80336458794815,0.6498440695785855,0.7,1.1,2.824368237320938,3.106805061053032,2.45
ECE 188B - Senior EE Capstone,Engineering,4,286,28,0,0,0,7,0,0,60,100,100,60,100,80,60,60,100,100,60,60,60,80,100,314,3.910828025477707,0.022292993630573243,0.0,0.0,125.36028079100652,0.6374216773978731,0.7,1.1,2.8244433227753696,3.106887655052907,2.45
ECE 188C - Senior EE Capstone,Engineering,4,276,37,0,2,0,7,0,0,60,100,100,60,100,80,60,60,100,100,60,60,60,80,100,315,3.8634920634920635,0.03412698412698412,0.006349206349206349,0.05030525030525031,120.10828447696687,0.6107167571547242,0.7,1.1,2.941286339505323,3.2354149734558555,2.78
ECE 189A - Senior Computer Systems Project,Engineering,4,202,32,1,0,0,8,0,0,100,80,80,60,80,60,60,80,60,80,60,60,100,100,60,235,3.8553191489361702,0.036170212765957444,0.0,0.0,87.72684879784524,0.4460662879877962,0.8,1.1,3.113458675908791,3.4248045434996706,3.27
ECE 189B - Senior Computer Systems Project,Engineering,4,208,23,3,1,0,8,0,0,100,80,80,60,80,60,60,80,60,80,60,60,100,100,60,235,3.8638297872340424,0.03404255319148941,0.00425531914893617,0.033715220949263505,90.49585625872601,0.4601459100922201,0.8,1.1,3.1826097799233604,3.500870757915697,3.47
ECE 189C - Senior Computer Systems Project,Engineering,4,183,40,7,2,0,8,0,0,100,80,80,60,80,60,60,80,60,80,60,60,100,100,60,232,3.7413793103448274,0.06465517241379315,0.008620689655172414,0.06830238726790451,78.06599771987801,0.39694358452580214,0.8,1.1,3.2967144978331926,3.6263859476165123,3.8
CS 111 - Intro to Computational Science,CS,4,323,92,37,4,8,8,0,0,100,60,60,100,60,60,40,40,40,60,100,100,80,80,40,464,3.5474137931034484,0.1131465517241379,0.02586206896551724,0.20490716180371352,133.40052473659912,0.6783040505877664,0.8,1.1,3.831832728211655,4.21501600103282,5.32
CS 130A - Data Structures and Algorithms I,CS,4,387,174,55,5,10,8,1,0,100,60,60,80,60,60,60,80,40,60,100,80,100,100,40,631,3.462757527733756,0.13431061806656097,0.02377179080824089,0.1883457271729855,160.90587310598704,0.8181609907956245,0.8,1.1,3.9215484949101853,4.313703344401204,5.58
CS 130B - Data Structures and Algorithms II,CS,4,304,195,41,3,7,9,0,0,100,60,60,80,60,60,60,80,40,60,100,80,100,100,40,550,3.429090909090909,0.1427272727272727,0.01818181818181818,0.14405594405594405,133.8656042454521,0.6806688487422207,0.9,1.1,4.13526449430118,4.548790943731298,6.19
CS 134 - Randomized Algorithms,CS,4,304,195,41,3,7,9,0,0,100,60,60,100,60,60,40,60,40,60,100,100,80,80,40,550,3.429090909090909,0.1427272727272727,0.01818181818181818,0.14405594405594405,133.8656042454521,0.6806688487422207,0.9,1.1,4.13526449430118,4.548790943731298,6.19
CS 138 - Automata and Formal Languages,CS,4,452,157,52,16,5,8,0,1,100,60,40,80,40,40,40,60,20,40,80,80,60,80,20,682,3.5175953079178885,0.12060117302052786,0.030791788856304986,0.2439657117076472,186.35530580050573,0.9475641795457264,0.8,1.1,4.063216445739477,4.469538090313425,5.98
CS 140 - Parallel Computing,CS,4,84,95,30,9,1,9,0,0,100,60,60,100,60,60,40,60,40,60,100,100,100,100,60,219,3.1506849315068495,0.21232876712328763,0.045662100456621,0.3617843343870741,43.216894844493396,0.21974572352490102,0.9,1.1,4.514263448344818,4.9656897931793,7.27
CS 148 - Computer Science Project,CS,4,273,9,2,0,1,8,0,0,100,60,40,80,40,40,40,60,20,40,80,60,100,100,20,285,3.9403508771929823,0.014912280701754432,0.0035087719298245615,0.027800269905533064,120.79942052841147,0.6142309890824302,0.8,1.1,3.1999967361066672,3.519996409717334,3.52
CS 154 - Computer Architecture,CS,4,367,183,29,4,8,7,0,0,80,100,100,60,100,60,60,80,100,100,60,60,80,100,100,591,3.517766497461929,0.12055837563451777,0.02030456852791878,0.16087465833658726,157.51412635062292,0.8009149149853979,0.7,1.1,3.473602713252167,3.8209629845773843,4.3
CS 156 - Advanced Applications Programming,CS,4,426,10,1,0,1,8,1,0,100,40,20,60,20,20,40,60,20,40,60,60,100,100,20,438,3.963470319634703,0.0091324200913242,0.00228310502283105,0.018089216719353703,189.2149571254873,0.9621047001383827,0.8,1.1,3.3400618337362085,3.6740680171098297,3.92
CS 160 - Translation of Programming Languages,CS,4,270,83,26,15,28,9,0,1,100,40,20,60,20,20,40,60,20,40,60,60,80,80,20,422,3.308056872037915,0.17298578199052128,0.1018957345971564,0.8073277433467007,107.07147145715332,0.544428239208072,0.9,1.1,5.469334061273741,6.016267467401115,10.0
CS 162 - Programming Languages,CS,4,268,91,24,0,10,8,0,1,100,40,20,60,20,20,40,60,20,40,60,60,80,80,20,393,3.544529262086514,0.11386768447837148,0.02544529262086514,0.2016050107653161,111.68169053161758,0.5678699031631474,0.8,1.1,3.771814184308134,4.148995602738948,5.15
CS 165A - Artificial Intelligence,CS,4,287,97,14,0,7,8,0,1,100,60,40,100,60,60,40,80,20,40,100,100,80,80,20,405,3.6222222222222222,0.09444444444444444,0.01728395061728395,0.1369420702754036,121.67374408638867,0.6186766778236945,0.8,1.1,3.6193335905737656,3.9812669496311424,4.72
CS 165B - Machine Learning,CS,4,268,97,21,2,4,8,0,1,100,60,40,100,60,60,40,80,20,40,100,100,80,80,20,392,3.5892857142857144,0.1026785714285714,0.015306122448979591,0.12127158555729985,112.87293741194122,0.5739270576291365,0.8,1.1,3.586203128500596,3.944823441350656,4.62
CS 170 - Operating Systems,CS,4,209,165,82,5,10,7,0,1,100,80,60,60,60,40,60,80,40,60,60,60,100,100,40,471,3.1847133757961785,0.20382165605095537,0.03184713375796178,0.25232729054385106,91.36027583145751,0.46454123986134105,0.7,1.1,3.6964793411457606,4.066127275260337,4.94
CS 171 - Distributed Systems,CS,4,276,120,53,15,8,9,0,1,100,60,40,60,40,40,80,80,20,40,100,80,100,100,20,472,3.358050847457627,0.1604872881355932,0.048728813559322036,0.3860821382007823,110.8120029599682,0.5634477871050555,0.9,1.1,4.605106390293075,5.065617029322383,7.53
CS 174A - Fundamentals of Database Systems,CS,4,207,97,24,6,13,8,0,1,100,40,20,60,20,20,40,60,20,40,100,80,100,80,20,347,3.3804034582132565,0.15489913544668588,0.05475504322766571,0.43382841941919753,85.08407606597136,0.4326285338833617,0.8,1.1,4.271218944396791,4.6983408388364705,6.58
CS 174B - Implementation Techniques of Databases,CS,4,104,68,14,1,3,9,0,0,100,40,20,60,20,20,40,60,20,40,100,80,100,80,20,190,3.4157894736842107,0.14605263157894732,0.021052631578947368,0.16680161943319838,45.896622969451684,0.2333713853820952,0.9,1.1,3.9654205105048126,4.361962561555294,5.71
CS 176A - Intro to Computer Communication Networks,CS,4,321,142,53,16,4,7,0,1,100,60,40,60,40,40,100,80,20,40,80,60,100,80,20,536,3.417910447761194,0.14552238805970152,0.03731343283582089,0.2956371986222732,131.174311509533,0.6669843840994027,0.7,1.1,3.7385725594435018,4.112429815387852,5.06
CS 176B - Network Computing,CS,4,185,75,7,2,3,8,0,1,100,40,20,60,20,20,100,80,20,20,80,60,100,100,20,272,3.6066176470588234,0.09834558823529416,0.01838235294117647,0.1456447963800905,79.23887934593724,0.40290735685268614,0.8,1.1,3.538607241774759,3.8924679659522354,4.49
CS 176C - Advanced Topics in Internet Computing,CS,4,116,33,6,3,3,8,0,1,100,40,20,60,20,20,100,100,20,20,80,60,100,100,20,161,3.590062111801242,0.10248447204968947,0.037267080745341616,0.2952699474438605,48.51494615064516,0.246684820415864,0.8,1.1,3.7700934852198764,4.147102833741864,5.15
CS 177 - Computer Security,CS,4,182,125,38,13,6,7,0,1,100,60,40,60,40,40,80,100,20,40,80,60,100,100,20,364,3.2747252747252746,0.18131868131868134,0.0521978021978022,0.41356720202874053,77.29618360566064,0.3930292968353729,0.7,1.1,3.926945755771871,4.319640331349059,5.6
CS 178 - Intro to Cryptography,CS,4,94,80,30,1,6,9,0,1,100,40,20,60,20,20,80,100,20,40,60,60,80,100,20,211,3.2085308056872037,0.19786729857819907,0.03317535545023697,0.26285089318264676,42.62862887778588,0.2167545569696831,0.9,1.1,4.278747311295633,4.706622042425197,6.6
CS 180 - Computer Graphics,CS,4,146,127,16,3,5,8,0,0,100,40,40,60,40,60,40,40,20,40,60,60,80,80,20,297,3.367003367003367,0.1582491582491582,0.026936026936026935,0.21341621341621342,70.87524250399429,0.3603806219786176,0.8,1.1,3.802645633444631,4.182910196789094,5.24
CS 181 - Intro to Computer Vision,CS,4,136,87,21,2,3,9,0,0,100,60,40,100,60,80,40,60,20,40,100,100,60,80,20,249,3.4096385542168677,0.14759036144578308,0.020080321285140562,0.15909793018226753,59.41127839055477,0.30208959719222545,0.9,1.1,3.988216562575105,4.387038218832616,5.77
CS 184 - Mobile Application Development,CS,4,257,68,13,0,7,7,0,0,100,40,20,60,20,20,40,60,20,20,60,60,100,100,20,345,3.646376811594203,0.08840579710144925,0.020289855072463767,0.16075808249721293,108.49654372375187,0.5516743298267013,0.7,1.1,3.2683678226613995,3.59520460492754,3.72
CS 185 - Human Computer Interaction,CS,4,338,90,13,2,0,7,0,0,100,40,20,60,20,20,40,40,20,20,60,60,100,80,20,443,3.724604966139955,0.06884875846501126,0.004514672686230248,0.03577009897551658,144.28028278319943,0.7336245522649173,0.7,1.1,3.0604743702460198,3.366521807270622,3.12
CS 189A - CS Capstone,CS,4,283,11,1,0,1,8,0,0,100,80,60,80,60,60,60,80,40,60,80,80,100,100,60,296,3.9425675675675675,0.014358108108108114,0.0033783783783783786,0.02676715176715177,125.18865763318975,0.6365490220364971,0.8,1.1,3.207704084822822,3.528474493305105,3.54
CS 189B - CS Capstone,CS,4,293,5,0,0,0,8,0,0,100,80,60,80,60,60,60,80,40,60,80,80,100,100,60,298,3.9832214765100673,0.004194630872483174,0.0,0.0,130.492528521751,0.6635177098629447,0.8,1.1,3.1422454321126803,3.4564699753239485,3.36
